net,length_um
_23990_,130.44
_26173_,130.36
_00165_,130.18
_00881_,130.16
_24446_,130.12
_15273_,129.9
u_core0.ROW\[18\].COL\[0\].u_pe.b_out\[7\],129.83
net578,129.51
u_core0.ROW\[15\].COL\[1\].u_pe.sum_out\[9\],129.46
u_core0.ROW\[3\].COL\[1\].u_pe.b_out\[1\],129.425
_00243_,129.34
u_core0.ROW\[15\].COL\[1\].u_pe.b_out\[1\],129.1
net401,128.72
_14238_,128.68
_22038_,128.66
u_core0.ROW\[12\].COL\[0\].u_pe.b_out\[2\],128.62
_08686_,128.55
_21006_,128.4
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[1\],128.32
net489,128.3
_09381_,128.28
_22434_,128.27
u_core0.ROW\[15\].COL\[1\].u_pe.b_out\[0\],127.76
_22443_,127.74
_00524_,127.66
_25025_,127.62
u_core0.ROW\[29\].COL\[0\].u_pe.b_out\[7\],127.56
_14892_,127.5
_08528_,127.32
_11482_,127.23
_24002_,127.22
u_core0.ROW\[19\].COL\[0\].u_pe.sum_out\[2\],127.22
_21471_,127.17
_14349_,127.16
u_core0.ROW\[15\].COL\[0\].u_pe.sum_out\[3\],127.14
_17454_,127.1
_14913_,127.02
_00268_,126.9
_00163_,126.74
_08110_,126.74
_01235_,126.48
_07742_,126.415
_25026_,126.34
_21089_,126.22
u_core0.ROW\[19\].COL\[0\].u_pe.b_out\[7\],126.175
_26759_,126.12
net531,126.065
net558,126.05
net425,126.005
_00242_,125.94
u_core0.ROW\[30\].COL\[0\].u_pe.b_out\[2\],125.94
u_core0.ROW\[0\].COL\[0\].u_pe.b_out\[7\],125.89
_00434_,125.665
_21531_,125.66
_23455_,125.62
u_core0.ROW\[30\].COL\[0\].u_pe.b_out\[4\],125.62
_01301_,125.53
u_core0.ROW\[13\].COL\[0\].u_pe.a_out\[5\],125.44
_21416_,125.36
net629,125.34
u_core0.ROW\[15\].COL\[0\].u_pe.sum_out\[15\],125.24
_00221_,125.22
_00329_,125.18
u_core0.ROW\[10\].COL\[0\].u_pe.sum_out\[6\],125.16
_08112_,125.08
u_core0.ROW\[25\].COL\[1\].u_pe.b_out\[1\],125.035
_26733_,125.02
net513,124.99
_08558_,124.82
_00388_,124.74
u_core0.ROW\[13\].COL\[0\].u_pe.b_out\[7\],124.48
net400,124.32
_26656_,124.22
u_core0.ROW\[28\].COL\[1\].u_pe.b_out\[2\],124.22
_22508_,124.12
clknet_leaf_169_clk,123.98
_00672_,123.9
u_core0.ROW\[20\].COL\[1\].u_pe.b_out\[4\],123.89
_05387_,123.88
_00253_,123.86
u_core0.ROW\[12\].COL\[1\].u_pe.b_out\[6\],123.78
_21012_,123.72
_08442_,123.58
clknet_leaf_139_clk,123.5
net626,123.42
net540,123.41
_17720_,123.38
_15886_,123.28
_13567_,123.27
_09129_,123.19
u_core0.ROW\[22\].COL\[0\].u_pe.b_out\[2\],123.08
_22384_,122.94
_15929_,122.88
_00162_,122.855
_18167_,122.64
net497,122.61
_24016_,122.38
_24022_,122.37
_03982_,122.36
_00608_,122.02
_21928_,121.46
u_core0.ROW\[7\].COL\[0\].u_pe.sum_out\[11\],121.18
net173,121.16
u_core0.ROW\[23\].COL\[0\].u_pe.b_out\[0\],121.08
_10526_,120.96
net536,120.89
_00241_,120.84
clknet_leaf_100_clk,120.82
u_core0.ROW\[15\].COL\[1\].u_pe.sum_out\[2\],120.72
_16027_,120.52
clknet_leaf_98_clk,120.4
u_core0.ROW\[12\].COL\[0\].u_pe.sum_out\[2\],120.3
net600,120.29
u_core0.ROW\[0\].COL\[0\].u_pe.a_out\[2\],120.1
_00425_,120.08
_11208_,119.92
_00347_,119.84
_26650_,119.48
_24862_,119.47
_08158_,119.4
_10621_,119.38
clknet_leaf_134_clk,119.14
_05419_,118.94
clknet_leaf_7_clk,118.76
_21880_,118.74
_20561_,118.68
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[7\],118.66
_14679_,118.64
_00346_,118.58
net617,118.54
net607,118.45
_08392_,118.34
_00133_,118.2
u_core0.ROW\[0\].COL\[0\].u_pe.b_out\[1\],118.16
u_core0.ROW\[13\].COL\[0\].u_pe.b_out\[3\],118.1
net503,117.98
_00830_,117.94
u_core0.A_inputs\[123\],117.87
net344,117.775
_03014_,117.74
_25051_,117.36
_00520_,117.34
_09154_,117.15
_09218_,117.07
_15257_,117.04
_00063_,117
_20644_,116.91
_00994_,116.86
u_core0.ROW\[7\].COL\[0\].u_pe.sum_out\[10\],116.82
clknet_leaf_60_clk,116.8
net827,116.67
_00254_,116.44
net539,116.16
net566,116.14
u_core0.ROW\[10\].COL\[1\].u_pe.b_in\[4\],116.06
u_core0.ROW\[16\].COL\[0\].u_pe.b_out\[2\],116
_23960_,115.995
u_core0.ROW\[7\].COL\[0\].u_pe.b_out\[0\],115.81
net618,115.76
net640,115.75
u_core0.ROW\[25\].COL\[1\].u_pe.sum_out\[0\],115.64
_10842_,115.52
net634,115.51
_20301_,115.34
u_core0.ROW\[10\].COL\[1\].u_pe.sum_out\[2\],115.22
u_core0.ROW\[10\].COL\[1\].u_pe.sum_in\[10\],115.18
net572,115.18
net421,115.12
u_core0.ROW\[27\].COL\[0\].u_pe.sum_out\[13\],114.865
net737,114.82
net606,114.81
net490,114.77
u_core0.ROW\[18\].COL\[0\].u_pe.sum_out\[9\],114.34
_05376_,114.26
u_core0.ROW\[12\].COL\[0\].u_pe.b_out\[1\],113.74
_15594_,113.68
u_core0.B_inputs\[101\],113.62
u_core0.ROW\[11\].COL\[1\].u_pe.sum_out\[1\],113.52
_17096_,113.32
_04020_,113.3
_01736_,113.29
clknet_leaf_194_clk,113.125
clknet_leaf_79_clk,112.92
u_core0.ROW\[10\].COL\[0\].u_pe.sum_out\[5\],112.78
_11938_,112.73
net648,112.73
u_core0.ROW\[4\].COL\[0\].u_pe.b_out\[3\],112.665
net633,112.6
clknet_leaf_163_clk,112.575
u_core0.ROW\[29\].COL\[0\].u_pe.b_out\[2\],112.16
u_core0.ROW\[0\].COL\[0\].u_pe.a_out\[3\],112.13
_00218_,112.04
_00279_,112
_02540_,111.95
_02523_,111.94
clknet_leaf_150_clk,111.92
_08132_,111.88
_23390_,111.8
net704,111.78
net423,111.7
u_core0.ROW\[1\].COL\[1\].u_pe.b_out\[7\],111.68
_00245_,111.46
u_core0.ROW\[23\].COL\[1\].u_pe.b_out\[6\],111.38
u_core0.ROW\[18\].COL\[1\].u_pe.sum_out\[9\],111.12
_25346_,111.08
u_core0.ROW\[10\].COL\[1\].u_pe.sum_out\[3\],110.9
u_core0.ROW\[13\].COL\[1\].u_pe.b_out\[0\],110.88
_20424_,110.82
u_core0.ROW\[27\].COL\[0\].u_pe.sum_out\[1\],110.6
_18086_,110.555
_00322_,110.205
_25802_,110.175
_02064_,110.12
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[1\],110.09
_00449_,109.76
u_core0.ROW\[4\].COL\[1\].u_pe.b_out\[1\],109.76
u_core0.ROW\[18\].COL\[0\].u_pe.sum_out\[6\],109.66
u_core0.ROW\[30\].COL\[0\].u_pe.b_out\[1\],109.62
_00142_,109.565
_09356_,109.35
clknet_leaf_166_clk,109.2
u_core0.ROW\[15\].COL\[1\].u_pe.b_out\[7\],109.17
_00345_,109.08
u_core0.ROW\[7\].COL\[1\].u_pe.sum_out\[3\],109.06
_22553_,108.82
_00764_,108.78
_26299_,108.78
net649,108.75
_00645_,108.58
_01266_,108.46
u_core0.ROW\[21\].COL\[0\].u_pe.b_out\[2\],108.41
_00699_,108.32
_10793_,108.16
clknet_leaf_135_clk,108.1
net534,108.08
_16633_,108.04
_00246_,108.02
_09549_,107.96
clknet_leaf_50_clk,107.76
u_core0.ROW\[20\].COL\[1\].u_pe.b_out\[5\],107.7
u_core0.ROW\[10\].COL\[0\].u_pe.sum_out\[3\],107.63
u_core0.ROW\[10\].COL\[0\].u_pe.sum_out\[4\],107.53
u_core0.ROW\[4\].COL\[0\].u_pe.b_out\[2\],107.2
_04414_,107.15
_26197_,107.12
u_core0.ROW\[19\].COL\[0\].u_pe.b_out\[2\],107.12
clknet_leaf_78_clk,106.66
_00954_,106.5
_17390_,106.29
u_core0.ROW\[16\].COL\[0\].u_pe.b_out\[3\],106.14
u_core0.ROW\[0\].COL\[0\].u_pe.a_out\[1\],105.98
_02646_,105.8
clknet_leaf_191_clk,105.6
_18191_,105.58
_00986_,105.56
_01696_,105.55
_26590_,105.44
_21209_,105.38
_08559_,105.34
_25349_,105.32
net588,105.32
_11832_,105.3
u_core0.ROW\[15\].COL\[1\].u_pe.b_out\[2\],105.2
u_core0.ROW\[0\].COL\[0\].u_pe.b_out\[0\],105.16
_00216_,104.965
_20377_,104.8
u_core0.ROW\[19\].COL\[1\].u_pe.b_out\[6\],104.8
u_core0.ROW\[20\].COL\[1\].u_pe.sum_out\[11\],104.76
_17358_,104.63
_16600_,104.6
_20563_,104.58
_00247_,104.38
u_core0.ROW\[25\].COL\[0\].u_pe.b_out\[1\],104.34
_10096_,104.315
_26112_,104.24
u_core0.ROW\[13\].COL\[0\].u_pe.b_out\[5\],104.14
clknet_leaf_138_clk,104.12
_08195_,104.08
_08308_,104.06
_19864_,104.02
_06792_,103.985
_22401_,103.96
u_core0.ROW\[10\].COL\[1\].u_pe.sum_out\[5\],103.92
u_core0.ROW\[4\].COL\[0\].u_pe.b_out\[5\],103.88
_19185_,103.86
_00339_,103.76
clknet_leaf_195_clk,103.66
u_core0.ROW\[13\].COL\[1\].u_pe.b_out\[1\],103.52
clknet_leaf_8_clk,103.42
_13304_,103.27
_00068_,103.02
u_core0.ROW\[18\].COL\[0\].u_pe.sum_out\[5\],103.02
_00601_,102.54
clknet_leaf_212_clk,102.46
_21077_,102.38
_00533_,102.32
net579,102.25
u_core0.ROW\[17\].COL\[0\].u_pe.b_out\[6\],102.14
_21935_,102.115
_22479_,102.1
clknet_leaf_25_clk,102.1
_17346_,102.06
_08347_,102
u_core0.ROW\[7\].COL\[0\].u_pe.sum_out\[13\],101.88
_18089_,101.855
clknet_leaf_34_clk,101.835
_00763_,101.8
u_core0.ROW\[15\].COL\[0\].u_pe.b_out\[0\],101.72
_02517_,101.66
_12001_,101.56
_00239_,101.54
net989,101.42
_24410_,101.35
net855,101.255
net461,101.1
_16266_,101.06
_00644_,100.96
_00559_,100.76
_19360_,100.72
u_core0.ROW\[28\].COL\[0\].u_pe.sum_out\[5\],100.66
clknet_leaf_30_clk,100.58
_06402_,100.42
net1047,100.34
_00549_,100.32
clknet_leaf_140_clk,100.26
_21494_,100.22
u_core0.ROW\[21\].COL\[1\].u_pe.sum_out\[10\],100.215
u_core0.ROW\[11\].COL\[0\].u_pe.a_out\[1\],100.2
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[4\],100.05
_13897_,99.89
_07758_,99.88
_20440_,99.86
u_core0.ROW\[4\].COL\[1\].u_pe.sum_out\[3\],99.72
_25290_,99.68
u_core0.ROW\[12\].COL\[0\].u_pe.b_out\[7\],99.59
net894,99.54
_26147_,99.5
_08401_,99.46
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[2\],99.35
clknet_leaf_127_clk,99.26
_21483_,99.24
_10231_,99.18
u_core0.ROW\[18\].COL\[0\].u_pe.sum_out\[8\],99.12
u_core0.ROW\[25\].COL\[1\].u_pe.sum_out\[5\],99.04
u_core0.ROW\[17\].COL\[0\].u_pe.b_out\[5\],98.775
u_core0.ROW\[10\].COL\[1\].u_pe.b_out\[0\],98.74
u_core0.ROW\[29\].COL\[0\].u_pe.b_out\[6\],98.705
_00192_,98.7
u_core0.ROW\[14\].COL\[1\].u_pe.b_out\[7\],98.7
u_core0.ROW\[25\].COL\[1\].u_pe.sum_out\[4\],98.7
_21045_,98.69
clknet_leaf_180_clk,98.5
_20634_,98.48
_03042_,98.42
u_core0.ROW\[20\].COL\[1\].u_pe.b_out\[6\],98.42
_00612_,98.4
_26758_,98.34
u_core0.ROW\[22\].COL\[1\].u_pe.sum_out\[5\],98.32
_21213_,97.98
_19588_,97.9
clknet_leaf_202_clk,97.9
clknet_leaf_38_clk,97.78
clknet_leaf_107_clk,97.75
_15899_,97.74
clknet_leaf_193_clk,97.73
_09009_,97.63
_11845_,97.58
clknet_leaf_144_clk,97.515
_02120_,97.5
u_core0.ROW\[12\].COL\[0\].u_pe.b_out\[5\],97.48
_04454_,97.42
_06489_,97.42
_18106_,97.42
u_core0.ROW\[13\].COL\[1\].u_pe.b_out\[2\],97.42
u_core0.ROW\[18\].COL\[0\].u_pe.sum_out\[4\],97.42
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[2\],97.36
clknet_leaf_201_clk,97.325
_22691_,97.3
_01460_,97.25
_11461_,97.24
u_core0.ROW\[5\].COL\[1\].u_pe.b_out\[1\],97.14
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[3\],97.12
u_core0.ROW\[27\].COL\[0\].u_pe.sum_out\[15\],97.06
clknet_leaf_230_clk,96.98
_03056_,96.88
u_core0.ROW\[21\].COL\[0\].u_pe.b_out\[1\],96.82
clknet_leaf_228_clk,96.8
_08399_,96.7
_16942_,96.6
_03970_,96.52
u_core0.ROW\[3\].COL\[1\].u_pe.sum_out\[7\],96.48
u_core0.ROW\[10\].COL\[0\].u_pe.sum_out\[2\],96.44
_07662_,96.34
_18956_,96.28
_24061_,96.12
u_core0.ROW\[16\].COL\[0\].u_pe.b_out\[0\],96.12
_00344_,96.1
_07280_,96.1
_21730_,95.99
_20442_,95.98
net936,95.98
clknet_leaf_128_clk,95.84
_25865_,95.72
u_core0.ROW\[11\].COL\[0\].u_pe.b_out\[0\],95.7
_16706_,95.675
_19231_,95.66
_00607_,95.64
_03510_,95.62
clknet_leaf_80_clk,95.52
_24834_,95.46
_24815_,95.36
_09099_,95.32
clknet_leaf_26_clk,95.215
_20599_,95.18
_02504_,95.16
_14668_,95.1
u_core0.ROW\[17\].COL\[1\].u_pe.sum_out\[7\],95.06
_17677_,95.04
net857,94.9
u_core0.ROW\[4\].COL\[0\].u_pe.sum_out\[6\],94.82
u_core0.ROW\[4\].COL\[1\].u_pe.sum_out\[4\],94.66
_00567_,94.62
_25356_,94.56
_11486_,94.54
_14698_,94.52
u_core0.ROW\[23\].COL\[1\].u_pe.b_out\[5\],94.48
net310,94.46
_20382_,94.34
_00439_,94.28
_01617_,94.24
_00328_,94.16
_00217_,93.92
clknet_leaf_37_clk,93.92
_00677_,93.9
u_core0.ROW\[20\].COL\[1\].u_pe.b_out\[3\],93.68
_04646_,93.36
_20615_,93.345
_00638_,93.3
_10425_,93.07
_22449_,92.98
_06311_,92.96
_11489_,92.94
_10104_,92.905
_08846_,92.84
_21249_,92.77
_13989_,92.74
_18558_,92.64
clknet_leaf_156_clk,92.57
_00161_,92.52
_00321_,92.42
_11890_,92.38
_22623_,92.28
_08238_,92.06
_16332_,92.02
_00631_,91.94
_24840_,91.84
_21436_,91.8
u_core0.ROW\[4\].COL\[0\].u_pe.b_out\[0\],91.8
net1020,91.7
_00731_,91.58
_00531_,91.56
_00597_,91.54
_01146_,91.52
_03048_,91.46
_23238_,91.44
_01644_,91.4
_00343_,91.14
_03163_,91.14
net268,91.05
_17806_,90.6
_24468_,90.55
_00675_,90.38
_17439_,90.34
clknet_leaf_257_clk,90.32
_00340_,90.28
_08272_,90.24
net852,90.22
u_core0.ROW\[21\].COL\[0\].u_pe.b_out\[4\],90.1
u_core0.ROW\[14\].COL\[1\].u_pe.sum_out\[0\],90.02
_26602_,90
u_core0.ROW\[12\].COL\[0\].u_pe.b_out\[0\],90
net845,90
net1013,89.88
_18079_,89.8
_18393_,89.76
_01499_,89.72
_23028_,89.6
_02489_,89.55
_18930_,89.54
u_core0.ROW\[27\].COL\[0\].u_pe.sum_out\[14\],89.52
_16696_,89.46
u_core0.ROW\[17\].COL\[0\].u_pe.sum_out\[13\],89.43
_18244_,89.36
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[1\],89.3
_09238_,89.135
_08562_,89.12
_26033_,89.12
_07778_,89.02
_21202_,88.94
_15272_,88.92
_11169_,88.86
_26072_,88.74
_02858_,88.48
clknet_leaf_266_clk,88.48
u_core0.ROW\[12\].COL\[0\].u_pe.sum_out\[4\],88.28
u_core0.ROW\[30\].COL\[0\].u_pe.sum_out\[13\],88.24
clknet_leaf_28_clk,88.22
u_core0.ROW\[26\].COL\[1\].u_pe.b_out\[2\],88.16
_00882_,88.04
clknet_leaf_220_clk,88.04
_07312_,87.96
net1004,87.86
clknet_leaf_126_clk,87.8
clknet_leaf_171_clk,87.76
net750,87.68
clknet_leaf_237_clk,87.67
u_core0.ROW\[24\].COL\[0\].u_pe.sum_out\[18\],87.32
clknet_leaf_143_clk,87.315
_07334_,87.28
_15320_,87.26
_08220_,87.24
_14239_,87.12
_21153_,87.06
_26612_,86.64
_22175_,86.58
clknet_leaf_239_clk,86.54
_21116_,86.38
_11481_,86.32
clknet_leaf_69_clk,86.32
u_core0.ROW\[28\].COL\[1\].u_pe.b_out\[1\],86.26
_03549_,86.24
_21920_,86.2
_10824_,86.14
_07585_,86.06
_00482_,86.04
_21201_,86
_00302_,85.84
_09180_,85.82
clknet_leaf_16_clk,85.72
_11296_,85.65
_10426_,85.635
u_core0.ROW\[6\].COL\[0\].u_pe.sum_out\[7\],85.54
_00793_,85.52
_00341_,85.4
_04439_,85.36
clknet_leaf_104_clk,85.34
clknet_leaf_157_clk,85.32
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[5\],85.24
_19155_,85.16
_00262_,85.105
_11258_,85.08
clknet_leaf_200_clk,85.04
clknet_leaf_177_clk,84.94
_22485_,84.82
_01153_,84.76
u_core0.ROW\[12\].COL\[0\].u_pe.sum_out\[3\],84.69
_00159_,84.68
clknet_leaf_129_clk,84.62
_22070_,84.6
_00313_,84.58
clknet_leaf_271_clk,84.58
clknet_leaf_189_clk,84.31
_08114_,84.3
_00711_,84.26
_18145_,84.16
_21539_,84.16
u_core0.ROW\[4\].COL\[0\].u_pe.b_out\[1\],84.1
_06435_,84.04
_22503_,84
_00587_,83.94
_00160_,83.84
_03082_,83.8
_00880_,83.78
_08089_,83.78
_23510_,83.695
_08138_,83.58
_18147_,83.5
u_core0.ROW\[20\].COL\[0\].u_pe.sum_out\[15\],83.48
net1002,83.48
_00643_,83.2
_18519_,83.18
_03502_,83.15
_22468_,83.14
_21844_,83.12
_14264_,83
clknet_leaf_215_clk,83
_25656_,82.935
_00900_,82.9
_02081_,82.85
_20351_,82.76
clknet_leaf_154_clk,82.76
_03919_,82.74
_18514_,82.7
net577,82.66
_00872_,82.6
_05926_,82.48
u_core0.ROW\[12\].COL\[1\].u_pe.b_out\[4\],82.39
u_core0.ROW\[19\].COL\[0\].u_pe.sum_out\[4\],82.34
_19293_,82.32
_16703_,82.07
u_core0.ROW\[15\].COL\[1\].u_pe.b_out\[5\],82.02
_00865_,81.92
_18552_,81.92
u_core0.ROW\[24\].COL\[1\].u_pe.b_out\[6\],81.9
_21115_,81.87
_07219_,81.78
_15595_,81.745
_00854_,81.72
u_core0.ROW\[26\].COL\[0\].u_pe.b_out\[2\],81.72
_12054_,81.7
clknet_leaf_132_clk,81.68
u_core0.ROW\[27\].COL\[1\].u_pe.b_out\[1\],81.66
_19379_,81.46
u_core0.ROW\[27\].COL\[1\].u_pe.b_out\[6\],81.42
_16941_,81.375
clknet_leaf_242_clk,81.22
clknet_leaf_11_clk,81.14
_02872_,81.035
_00639_,80.84
u_core0.ROW\[13\].COL\[0\].u_pe.sum_out\[5\],80.84
clknet_leaf_41_clk,80.82
_00342_,80.72
_00352_,80.64
clknet_leaf_122_clk,80.42
net329,80.39
_08139_,80.33
_03521_,80.32
clknet_leaf_179_clk,80.14
_00678_,80.08
clknet_leaf_253_clk,80.08
net740,80.04
_11936_,80.02
_18561_,79.935
_02999_,79.92
_05043_,79.8
_09568_,79.64
_04453_,79.62
_09046_,79.62
u_core0.ROW\[24\].COL\[0\].u_pe.sum_out\[17\],79.62
u_core0.ROW\[30\].COL\[0\].u_pe.b_out\[0\],79.58
_10459_,79.54
u_core0.ROW\[0\].COL\[1\].u_pe.sum_out\[0\],79.54
u_core0.ROW\[1\].COL\[1\].u_pe.b_out\[5\],79.44
net722,79.36
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[8\],79.33
_21004_,79.315
_06900_,79.28
u_core0.ROW\[15\].COL\[0\].u_pe.b_out\[3\],79.26
_21690_,79.24
_19084_,78.94
u_core0.ROW\[2\].COL\[1\].u_pe.sum_out\[7\],78.9
net593,78.9
_02111_,78.82
_00148_,78.78
_00553_,78.72
_00566_,78.705
u_core0.ROW\[4\].COL\[1\].u_pe.b_out\[0\],78.7
_21883_,78.68
clknet_leaf_210_clk,78.68
_00606_,78.545
_02459_,78.49
_23360_,78.45
u_core0.ROW\[16\].COL\[1\].u_pe.sum_out\[1\],78.36
_18899_,78.34
_05820_,78.3
_07358_,78.26
_11431_,78.26
_19256_,78.2
clknet_leaf_218_clk,78.14
net1000,78.14
_08439_,78.065
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[15\],78.04
clknet_leaf_121_clk,78.04
_00593_,77.9
_26740_,77.88
_24563_,77.8
_21210_,77.78
_00661_,77.72
_21676_,77.7
_00887_,77.66
_02754_,77.545
u_core0.ROW\[15\].COL\[1\].u_pe.sum_out\[5\],77.54
_23496_,77.36
clknet_leaf_162_clk,77.36
_22346_,77.28
_00883_,77.2
_08523_,77.2
_18208_,77.18
clknet_leaf_155_clk,77.16
_22222_,77.15
net319,77.14
_07692_,76.96
_17055_,76.93
_07298_,76.88
_17821_,76.82
_24857_,76.78
_05363_,76.73
net968,76.7
_00853_,76.64
_07323_,76.62
_06303_,76.6
u_core0.ROW\[25\].COL\[1\].u_pe.sum_out\[9\],76.58
_01015_,76.56
_00314_,76.54
clknet_leaf_106_clk,76.5
_02948_,76.44
clknet_leaf_32_clk,76.35
net990,76.26
clknet_leaf_268_clk,76.06
_23131_,76.05
_02265_,76
_02549_,75.88
clknet_leaf_131_clk,75.86
_01020_,75.84
clknet_leaf_207_clk,75.805
_00428_,75.76
clknet_leaf_182_clk,75.66
_05500_,75.65
mem0_rdata\[17\],75.59
_05850_,75.58
_23951_,75.44
_07359_,75.24
_26655_,75.2
u_core0.ROW\[27\].COL\[0\].u_pe.sum_out\[5\],75.2
_12936_,75.18
clknet_leaf_15_clk,75.18
_00966_,75.16
_03538_,75.16
_03980_,75.14
u_core0.ROW\[17\].COL\[0\].u_pe.sum_out\[9\],74.94
_07759_,74.92
_09488_,74.91
_19543_,74.86
mem0_rdata\[10\],74.79
u_core0.ROW\[12\].COL\[1\].u_pe.sum_out\[4\],74.68
clknet_leaf_74_clk,74.68
u_core0.ROW\[10\].COL\[1\].u_pe.sum_out\[0\],74.62
clknet_leaf_89_clk,74.58
_00378_,74.56
_03266_,74.4
_22934_,74.38
_00920_,74.3
clknet_leaf_151_clk,74.3
net730,74.28
_00574_,74.24
clknet_leaf_93_clk,74.2
_17980_,74.18
_00965_,74.14
_05207_,74.14
_21127_,74.04
_22343_,74.04
u_core0.ROW\[17\].COL\[0\].u_pe.sum_out\[10\],74.04
_24886_,73.96
clknet_leaf_173_clk,73.96
_23009_,73.94
_25491_,73.94
_19882_,73.88
_00596_,73.825
_22209_,73.82
clknet_leaf_1_clk,73.74
_02266_,73.64
_03157_,73.62
_00875_,73.44
_11191_,73.44
_01535_,73.34
_06226_,73.34
_21681_,73.32
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[7\],73.27
_08055_,73.22
_15244_,73.12
_02557_,73.06
_26826_,73.02
_00884_,72.94
_02494_,72.94
_00649_,72.88
_00353_,72.82
u_core0.ROW\[16\].COL\[1\].u_pe.b_out\[6\],72.82
_09052_,72.8
_20601_,72.66
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[6\],72.64
_00435_,72.6
_16471_,72.52
clknet_leaf_51_clk,72.36
u_core0.ROW\[5\].COL\[0\].u_pe.sum_out\[2\],72.3
_08685_,72.26
_20554_,72.24
_00548_,72.22
_00669_,72.18
_01147_,72.14
u_core0.ROW\[17\].COL\[1\].u_pe.b_out\[6\],72.02
_04008_,72
_14194_,71.86
_20376_,71.83
_25740_,71.76
_07743_,71.74
_24819_,71.74
_00648_,71.7
clknet_leaf_214_clk,71.6
_00967_,71.58
_22831_,71.56
u_core0.ROW\[15\].COL\[0\].u_pe.b_out\[2\],71.52
clknet_leaf_27_clk,71.46
_14652_,71.32
_00227_,71.28
_00718_,71.24
_04926_,71.24
_07732_,71.2
_03290_,71.18
_22584_,71.12
_14015_,71.1
_04367_,71.095
clknet_leaf_114_clk,71.02
clknet_leaf_103_clk,70.98
_04252_,70.935
_22928_,70.9
_00901_,70.82
_03892_,70.8
_07694_,70.8
_00222_,70.76
_24801_,70.755
_05378_,70.73
_07500_,70.64
clknet_leaf_62_clk,70.64
clknet_leaf_224_clk,70.58
_07256_,70.56
_08331_,70.54
clknet_leaf_254_clk,70.54
_06812_,70.49
_00481_,70.425
_21739_,70.42
_19194_,70.4
_00877_,70.32
_21837_,70.32
clknet_leaf_99_clk,70.24
_02890_,70.16
u_core0.ROW\[8\].COL\[0\].u_pe.sum_out\[11\],70.14
u_core0.ROW\[23\].COL\[0\].u_pe.sum_out\[1\],70.125
_01129_,70.12
_01165_,70.1
u_core0.ROW\[5\].COL\[1\].u_pe.sum_out\[2\],70.04
_26890_,69.99
net739,69.84
_16705_,69.48
_02413_,69.44
_08436_,69.44
clknet_leaf_133_clk,69.32
_24821_,69.3
clknet_leaf_130_clk,69.3
_00964_,69.28
_05360_,69.265
_07630_,69.26
_22056_,69.25
net998,69.22
_03007_,69.16
_04057_,69.14
_07731_,69.05
_13213_,69.04
_02142_,68.98
net826,68.86
_03293_,68.61
_18483_,68.58
u_core0.ROW\[5\].COL\[1\].u_pe.sum_out\[3\],68.46
_15138_,68.34
clknet_leaf_53_clk,68.28
_00953_,68.14
_10865_,68.14
_20005_,68.1
clknet_leaf_146_clk,68.06
_11015_,67.92
_26818_,67.88
_15954_,67.845
u_core0.ROW\[4\].COL\[1\].u_pe.sum_out\[8\],67.78
clknet_leaf_10_clk,67.66
_06335_,67.57
_23011_,67.52
_04539_,67.5
_03015_,67.48
_04183_,67.46
_20841_,67.4
net1040,67.38
_21026_,67.34
_03606_,67.26
_21812_,67.26
clknet_leaf_3_clk,67.24
_18555_,67.22
clknet_leaf_125_clk,67.22
clknet_leaf_188_clk,67.2
_00876_,67.18
u_core0.ROW\[16\].COL\[1\].u_pe.sum_out\[9\],67.12
u_core0.ROW\[17\].COL\[0\].u_pe.sum_out\[8\],67.06
clknet_leaf_281_clk,67.06
_02414_,67
_16762_,66.99
_03540_,66.88
_05744_,66.86
_25360_,66.84
net808,66.84
u_core0.ROW\[25\].COL\[0\].u_pe.b_out\[6\],66.83
_03926_,66.78
_14574_,66.78
clknet_leaf_73_clk,66.76
_02463_,66.62
_08651_,66.595
_01906_,66.58
_14773_,66.58
_13905_,66.48
_20178_,66.47
_00951_,66.46
_11865_,66.36
_24500_,66.34
mem0_rdata\[3\],66.315
_11235_,66.295
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[10\],66.26
_24392_,66.25
_26878_,66.25
_09395_,66.24
_00717_,66.1
u_core0.ROW\[17\].COL\[0\].u_pe.sum_out\[7\],66.06
_04468_,66.05
u_core0.ROW\[11\].COL\[0\].u_pe.a_out\[3\],66.02
clknet_leaf_49_clk,65.98
_00560_,65.92
_25763_,65.9
clknet_leaf_245_clk,65.88
_01448_,65.84
u_core0.ROW\[31\].COL\[0\].u_pe.sum_out\[16\],65.82
_21035_,65.77
_00240_,65.76
clknet_leaf_137_clk,65.74
