net,length_um
_10939_,592.115
_09293_,591.35
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[8\],590.79
net121,589.98
net301,589.97
net151,587.965
net33,587.86
net144,587.65
net342,586.855
net143,585.87
_08711_,585.8
mem_wdata_a\[5\],585.61
_10611_,585.345
net185,585.25
net226,584.98
net141,583.18
_09758_,582.63
_10806_,582.58
u_core0.A_inputs\[126\],581.43
net321,580.31
net237,580
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[5\],578.92
_09589_,578.66
net284,578.035
_09725_,576.655
_09411_,576.035
net169,576
mem0_rdata\[25\],575.41
net113,575.26
net343,574.675
_18306_,574.47
net236,574.2
mem_wdata_a\[8\],574.07
_00749_,574.04
mem_wdata_a\[7\],574.03
net243,573.16
_09073_,573.085
net280,572.78
net450,572.49
net219,572.17
_14225_,571.79
_19263_,570.45
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[1\],569.15
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[3\],569.04
_09486_,568.95
mem0_rdata\[20\],568.67
net157,568.6
_25336_,568.49
net231,566.875
mem_wdata_a\[18\],566.71
_12352_,565.82
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[6\],565.73
net35,565.44
net190,565.435
_09409_,564.595
net180,564.595
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[5\],564.26
_09482_,563.29
_22551_,563.12
u_core0.ROW\[3\].COL\[1\].u_pe.sum_out\[11\],562.02
net303,561.18
net87,559.85
u_core0.A_inputs\[107\],558.9
net168,558.87
_20901_,558.285
_00829_,556.72
net75,556.23
net178,556.21
net91,555.955
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[2\],555.57
clknet_5_28__leaf_clk,553.775
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[2\],553.58
_00688_,553.36
_10432_,553.17
_08779_,551.61
u_core0.ROW\[2\].COL\[0\].u_pe.b_out\[7\],551.31
_08684_,550.5
mem_wdata_a\[11\],550.31
_22552_,550
mem_wdata_a\[19\],550
_09465_,549.15
_25323_,548
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[8\],547.81
mem_wdata_a\[10\],547.69
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[5\],547.5
net382,546.88
_22879_,546.715
_00828_,546.61
_00750_,546.56
u_core0.ROW\[6\].COL\[1\].u_pe.sum_out\[9\],546.27
net36,546.21
_09470_,546.04
_00618_,545.9
net282,545.46
net74,545.25
net153,543.855
mem_wdata_a\[12\],543.035
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[3\],542.48
net367,541.91
u_core0.A_inputs\[112\],541.84
net338,541.33
_09547_,541.01
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[7\],540.82
_09650_,540.73
_00789_,540.66
_14556_,540.215
net234,539.91
_11567_,539.7
net112,539.39
net128,539.365
_10433_,539.34
_10445_,539.27
net126,538.81
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[10\],537.36
_00824_,536.36
net654,535.91
_09076_,535.35
_10442_,534.73
net186,534.48
u_core0.B_inputs\[100\],533.96
net197,533.405
net262,533.01
_09730_,532.6
u_core0.B_inputs\[103\],532.59
net377,532.525
_00756_,532.485
mem0_rdata\[31\],532.19
net324,532.05
_09698_,531.43
_00821_,531.4
u_core0.ROW\[29\].COL\[1\].u_pe.b_out\[6\],531.02
net251,530.845
_00822_,529.48
_00755_,529.335
mem0_rdata\[24\],528.65
net244,528.43
net119,528.265
mem0_rdata\[19\],527.15
net189,527.05
u_core0.ROW\[2\].COL\[0\].u_pe.b_out\[6\],526.95
net37,526.81
_25329_,526.02
_00827_,525.94
_00934_,525.55
net315,525.46
net99,524.9
_09252_,524.44
_09575_,523.87
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[9\],523.79
mem_wdata_a\[14\],523.59
_14214_,523.12
_08847_,522.42
_09687_,522
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[6\],521.02
_14216_,521.005
u_core0.A_inputs\[105\],520.86
net260,520.55
net129,520.17
_20899_,519.4
net337,519.32
u_core0.ROW\[6\].COL\[1\].u_pe.sum_out\[8\],519.18
mem_wdata_a\[16\],518.82
_10461_,518.57
u_core0.A_inputs\[125\],518.22
_00832_,517.42
net92,517.04
net336,516.77
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[4\],516.67
_20348_,516.56
clknet_5_27__leaf_clk,515.83
net163,515.75
net339,515.38
net249,514.725
_00748_,514.7
net97,514.48
u_core0.ROW\[10\].COL\[0\].u_pe.b_out\[5\],514.465
net76,514.295
_09576_,514.05
net182,513.915
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[3\],513.74
_22689_,513.43
_00687_,513.18
u_core0.ROW\[6\].COL\[1\].u_pe.sum_out\[10\],512.91
net98,512.74
mem_wdata_a\[17\],512.42
net205,511.805
_24900_,511.06
u_core0.A_inputs\[106\],511.06
_09479_,511
_10549_,510.41
_25707_,510.16
net411,510.08
_09449_,509.91
_22834_,509.43
net229,509.01
_14620_,508
net312,507.6
_25315_,507.2
net449,506.94
_25743_,506.6
net38,506.53
net159,506.52
u_core0.ROW\[2\].COL\[0\].u_pe.b_out\[5\],506.34
net81,506.28
net330,505.99
net166,505.36
clknet_5_23__leaf_clk,505.07
_00932_,504.52
_00754_,504.3
net170,503.82
net207,503.34
net271,502.3
net386,501.29
_00752_,500.36
_01780_,499.19
net176,498.88
_08805_,497.52
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[4\],497.42
net107,497.2
net273,497.16
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[6\],496.28
mem_wdata_a\[20\],495.96
u_core0.ROW\[1\].COL\[1\].u_pe.sum_out\[10\],495.86
_09062_,495.71
mem1_rdata\[5\],495.695
_20942_,495.26
net356,494.57
